turn,speaker,text,move,uptake
0,D,"However, I disagree because the second condition changes the result",challenge,0.0
1,C,I think the evidence supports the first explanation,evidence_request,0.07692307692307693
2,B,"However, I disagree because the second condition changes the result",challenge,0.07692307692307693
3,A,Therefore the group should test the alternative explanation,reasoning,0.07142857142857142
4,A,Therefore the group should test the alternative explanation,reasoning,1.0
5,D,"Building on your point, the evidence also shows a timing effect",evidence_request,0.06666666666666667
6,B,"Building on your point, the evidence also shows a timing effect",evidence_request,1.0
7,D,How do we know this? What source supports it?,evidence_request,0.0
8,C,I think the evidence supports the first explanation,evidence_request,0.09090909090909091
9,B,"Building on your point, the evidence also shows a timing effect",evidence_request,0.15384615384615385
10,A,How do we know this? What source supports it?,evidence_request,0.0
11,B,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0
12,A,Therefore the group should test the alternative explanation,reasoning,0.06666666666666667
13,D,I have another example that might fit the pattern,other,0.07142857142857142
14,B,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0625
15,C,How do we know this? What source supports it?,evidence_request,0.0
16,C,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0
17,C,I have another example that might fit the pattern,other,0.0625
18,A,Therefore the group should test the alternative explanation,reasoning,0.07142857142857142
19,C,Therefore the group should test the alternative explanation,reasoning,1.0
20,D,How do we know this? What source supports it?,evidence_request,0.0
21,B,Therefore the group should test the alternative explanation,reasoning,0.0
22,A,"However, I disagree because the second condition changes the result",challenge,0.07142857142857142
23,C,"However, I disagree because the second condition changes the result",challenge,1.0
24,C,Therefore the group should test the alternative explanation,reasoning,0.07142857142857142
25,C,Therefore the group should test the alternative explanation,reasoning,1.0
26,C,"However, I disagree because the second condition changes the result",challenge,0.07142857142857142
27,B,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0625
28,B,"However, I disagree because the second condition changes the result",challenge,0.0625
29,D,I think the evidence supports the first explanation,evidence_request,0.07692307692307693
30,A,Therefore the group should test the alternative explanation,reasoning,0.18181818181818182
31,C,I have another example that might fit the pattern,other,0.07142857142857142
32,A,I have another example that might fit the pattern,other,1.0
33,A,"However, I disagree because the second condition changes the result",challenge,0.06666666666666667
34,C,I think the evidence supports the first explanation,evidence_request,0.07692307692307693
35,B,I think the evidence supports the first explanation,evidence_request,1.0
36,C,I think the evidence supports the first explanation,evidence_request,1.0
37,C,"However, I disagree because the second condition changes the result",challenge,0.07692307692307693
38,B,I have another example that might fit the pattern,other,0.06666666666666667
39,D,How do we know this? What source supports it?,evidence_request,0.0
40,C,Therefore the group should test the alternative explanation,reasoning,0.0
41,D,I have another example that might fit the pattern,other,0.07142857142857142
42,B,How do we know this? What source supports it?,evidence_request,0.0
43,C,"However, I disagree because the second condition changes the result",challenge,0.0
44,C,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0625
45,C,"Building on your point, the evidence also shows a timing effect",evidence_request,1.0
46,B,I have another example that might fit the pattern,other,0.0625
47,A,I have another example that might fit the pattern,other,1.0
48,B,"However, I disagree because the second condition changes the result",challenge,0.06666666666666667
49,B,I have another example that might fit the pattern,other,0.06666666666666667
50,A,How do we know this? What source supports it?,evidence_request,0.0
51,C,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0
52,C,Therefore the group should test the alternative explanation,reasoning,0.06666666666666667
53,B,"Building on your point, the evidence also shows a timing effect",evidence_request,0.06666666666666667
54,B,How do we know this? What source supports it?,evidence_request,0.0
55,C,I have another example that might fit the pattern,other,0.0
56,A,Therefore the group should test the alternative explanation,reasoning,0.07142857142857142
57,D,How do we know this? What source supports it?,evidence_request,0.0
58,B,Therefore the group should test the alternative explanation,reasoning,0.0
59,D,I have another example that might fit the pattern,other,0.07142857142857142
60,A,I think the evidence supports the first explanation,evidence_request,0.07692307692307693
61,A,"However, I disagree because the second condition changes the result",challenge,0.07692307692307693
62,B,Therefore the group should test the alternative explanation,reasoning,0.07142857142857142
63,C,Therefore the group should test the alternative explanation,reasoning,1.0
64,A,I think the evidence supports the first explanation,evidence_request,0.18181818181818182
65,A,I have another example that might fit the pattern,other,0.07692307692307693
66,D,Therefore the group should test the alternative explanation,reasoning,0.07142857142857142
67,A,"However, I disagree because the second condition changes the result",challenge,0.07142857142857142
68,A,I think the evidence supports the first explanation,evidence_request,0.07692307692307693
69,A,I think the evidence supports the first explanation,evidence_request,1.0
70,D,I think the evidence supports the first explanation,evidence_request,1.0
71,A,How do we know this? What source supports it?,evidence_request,0.09090909090909091
72,A,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0
73,B,How do we know this? What source supports it?,evidence_request,0.0
74,A,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0
75,C,"Building on your point, the evidence also shows a timing effect",evidence_request,1.0
76,A,Therefore the group should test the alternative explanation,reasoning,0.06666666666666667
77,D,Therefore the group should test the alternative explanation,reasoning,1.0
78,D,"However, I disagree because the second condition changes the result",challenge,0.07142857142857142
79,D,I think the evidence supports the first explanation,evidence_request,0.07692307692307693
80,C,How do we know this? What source supports it?,evidence_request,0.09090909090909091
81,A,I think the evidence supports the first explanation,evidence_request,0.09090909090909091
82,B,"However, I disagree because the second condition changes the result",challenge,0.07692307692307693
83,C,"However, I disagree because the second condition changes the result",challenge,1.0
84,C,"However, I disagree because the second condition changes the result",challenge,1.0
85,A,How do we know this? What source supports it?,evidence_request,0.0
86,D,I think the evidence supports the first explanation,evidence_request,0.09090909090909091
87,A,I have another example that might fit the pattern,other,0.07692307692307693
88,D,How do we know this? What source supports it?,evidence_request,0.0
89,B,Therefore the group should test the alternative explanation,reasoning,0.0
90,D,How do we know this? What source supports it?,evidence_request,0.0
91,C,How do we know this? What source supports it?,evidence_request,1.0
92,B,"However, I disagree because the second condition changes the result",challenge,0.0
93,D,I think the evidence supports the first explanation,evidence_request,0.07692307692307693
94,D,How do we know this? What source supports it?,evidence_request,0.09090909090909091
95,C,How do we know this? What source supports it?,evidence_request,1.0
96,C,I have another example that might fit the pattern,other,0.0
97,A,I think the evidence supports the first explanation,evidence_request,0.07692307692307693
98,A,"However, I disagree because the second condition changes the result",challenge,0.07692307692307693
99,B,I have another example that might fit the pattern,other,0.06666666666666667
100,B,How do we know this? What source supports it?,evidence_request,0.0
101,B,Therefore the group should test the alternative explanation,reasoning,0.0
102,B,Therefore the group should test the alternative explanation,reasoning,1.0
103,C,I have another example that might fit the pattern,other,0.07142857142857142
104,B,"However, I disagree because the second condition changes the result",challenge,0.06666666666666667
105,C,"However, I disagree because the second condition changes the result",challenge,1.0
106,B,How do we know this? What source supports it?,evidence_request,0.0
107,C,How do we know this? What source supports it?,evidence_request,1.0
108,B,I think the evidence supports the first explanation,evidence_request,0.09090909090909091
109,D,Therefore the group should test the alternative explanation,reasoning,0.18181818181818182
110,D,Therefore the group should test the alternative explanation,reasoning,1.0
111,C,I think the evidence supports the first explanation,evidence_request,0.18181818181818182
112,B,I have another example that might fit the pattern,other,0.07692307692307693
113,A,How do we know this? What source supports it?,evidence_request,0.0
114,D,Therefore the group should test the alternative explanation,reasoning,0.0
115,D,I have another example that might fit the pattern,other,0.07142857142857142
116,A,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0625
117,B,"However, I disagree because the second condition changes the result",challenge,0.0625
118,B,Therefore the group should test the alternative explanation,reasoning,0.07142857142857142
119,C,I have another example that might fit the pattern,other,0.07142857142857142
120,D,I have another example that might fit the pattern,other,1.0
121,A,I think the evidence supports the first explanation,evidence_request,0.07692307692307693
122,A,I have another example that might fit the pattern,other,0.07692307692307693
123,D,I have another example that might fit the pattern,other,1.0
124,C,"However, I disagree because the second condition changes the result",challenge,0.06666666666666667
125,C,"Building on your point, the evidence also shows a timing effect",evidence_request,0.0625
126,C,I have another example that might fit the pattern,other,0.0625
127,B,Therefore the group should test the alternative explanation,reasoning,0.07142857142857142
128,C,I have another example that might fit the pattern,other,0.07142857142857142
129,D,I have another example that might fit the pattern,other,1.0
